Classification,Name,Longitude,Latitude
0,20140723_181317_0905,-122.0736532,37.70900436
0,20140723_181317_0905,-122.0831228,37.72216532
0,20140723_181317_0905,-122.1054732,37.6723685
0,20140723_181317_0905,-122.1075857,37.64366863
0,20140723_181317_0905,-122.1432866,37.69728212
0,20140723_181317_0905,-122.1662438,37.66497232
0,20140723_181318_0905,-122.1090327,37.72742032
0,20140723_181318_0905,-122.1457248,37.81086391
0,20140723_181318_0905,-122.1658138,37.75192771
0,20140723_181318_0905,-122.1710799,37.76524106
0,20140723_181318_0905,-122.1776768,37.72621569
0,20140922_155952_080b,-117.5536264,34.04753676
0,20140922_155952_080b,-117.5656593,34.08279004
0,20140922_155952_080b,-117.5813954,34.05392907
0,20140922_155952_080b,-117.5846602,34.0559969
0,20140922_155952_080b,-117.6038651,34.05049286
0,20140923_154034_1_080e,-117.7948124,33.68493047
0,20140923_154034_1_080e,-117.7962783,33.6859492
0,20140923_154034_1_080e,-117.8079098,33.70107977
0,20140923_154034_1_080e,-117.8109657,33.69556717
0,20140923_154034_1_080e,-117.8175694,33.69560481
0,20140923_154034_1_080e,-117.8215847,33.6889492
0,20140923_154034_1_080e,-117.8288611,33.69842467
0,20140923_154034_1_080e,-117.8328495,33.70583851
0,20140923_154034_1_080e,-117.8338054,33.7009077
0,20140923_154034_1_080e,-117.8469922,33.72516918
0,20140923_154034_1_080e,-117.8498303,33.68456432
0,20140923_154034_1_080e,-117.8595931,33.68990819
0,20140929_180605_0905,-118.1407892,33.78725147
0,20140929_180605_0905,-118.1448466,33.78534705
0,20140929_180605_0905,-118.1487198,33.78907177
0,20140929_180605_0905,-118.1599002,33.76272322
0,20140929_180605_0905,-118.1898806,33.82948114
0,20140929_180605_0905,-118.2115704,33.7514046
0,20140929_180605_0905,-118.2244088,33.74316128
0,20140929_180605_0905,-118.2314831,33.76227321
0,20140929_180605_0905,-118.2480429,33.80742439
0,20140929_180606_0905,-118.1516427,33.86209419
0,20140929_180606_0905,-118.1681509,33.88358297
0,20140929_180606_0905,-118.1705831,33.85501667
0,20140929_180606_0905,-118.1933835,33.83193637
0,20140929_180606_0905,-118.1984811,33.85106906
0,20140929_180606_0905,-118.1997153,33.82105282
0,20140929_180606_0905,-118.2152966,33.9027147
0,20140929_180606_0905,-118.2203407,33.83995137
0,20140929_180606_0905,-118.2322424,33.82884862
0,20140929_180606_0905,-118.2454908,33.82141063
0,20140929_180606_0905,-118.2489608,33.86385187
0,20140930_180622_0908,-118.2710066,33.89179048
0,20140930_180622_0908,-118.2836166,33.8673105
0,20140930_180622_0908,-118.2903056,33.88076799
0,20140930_180622_0908,-118.2953207,33.90138508
0,20140930_180622_0908,-118.3010007,33.91220114
0,20140930_180622_0908,-118.3037313,33.91038666
0,20140930_180622_0908,-118.3192032,33.86152375
0,20140930_180622_0908,-118.3324526,33.93983901
0,20140930_180622_0908,-118.3336749,33.94328871
0,20140930_180622_0908,-118.3454823,33.88288323
0,20140930_180622_0908,-118.3595006,33.89547193
0,20140930_180622_0908,-118.3881261,33.91216974
0,20140930_180623_0908,-118.2876642,33.96826281
0,20140930_180623_0908,-118.296321,33.9674144
0,20140930_180623_0908,-118.3189448,33.94585525
0,20140930_180623_0908,-118.3243788,33.97601644
0,20140930_180623_0908,-118.3296559,33.93115777
0,20140930_180623_0908,-118.3528085,33.98109089
0,20140930_180623_0908,-118.3529371,33.98920567
0,20140930_180623_0908,-118.3731155,33.93119477
0,20140930_180623_0908,-118.3914191,33.95901719
0,20141012_180451_0907,-117.7798452,33.67617813
0,20141012_180451_0907,-117.7934885,33.66764944
0,20141012_180451_0907,-117.7981195,33.70306446
0,20141012_180451_0907,-117.801331,33.72468926
0,20141012_180451_0907,-117.8080419,33.70827607
0,20141012_180451_0907,-117.8111613,33.74735286
0,20141012_180451_0907,-117.8172127,33.69211681
